id,timestamp,source,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,image_width,image_height,model_used
341,2025-11-09 22:55:47,live_feed,Class_39,0.8840265870094299,0.0,9.0,545.0,887.0,1920,1080,YOLOv8
342,2025-11-09 22:55:47,live_feed,Class_39,0.8396962285041809,369.0,3.0,879.0,870.0,1920,1080,YOLOv8
343,2025-11-09 22:55:47,live_feed,Class_39,0.7787692546844482,843.0,4.0,1085.0,601.0,1920,1080,YOLOv8
344,2025-11-09 22:55:47,live_feed,Class_39,0.5501168966293335,1070.0,4.0,1153.0,284.0,1920,1080,YOLOv8
345,2025-11-09 22:55:47,live_feed,Class_60,0.5497098565101624,2.0,24.0,1733.0,1063.0,1920,1080,YOLOv8
346,2025-11-09 22:55:47,live_feed,Class_39,0.307119756937027,1441.0,231.0,1556.0,441.0,1920,1080,YOLOv8
334,2025-11-09 22:55:46,live_feed,Class_39,0.2351439744234085,839.0,1.0,1101.0,311.0,1920,1080,YOLOv8
335,2025-11-09 22:55:46,live_feed,Class_39,0.8832545876502991,0.0,9.0,545.0,887.0,1920,1080,YOLOv8
336,2025-11-09 22:55:46,live_feed,Class_39,0.838969886302948,369.0,3.0,879.0,870.0,1920,1080,YOLOv8
337,2025-11-09 22:55:46,live_feed,Class_39,0.7824744582176208,843.0,4.0,1085.0,601.0,1920,1080,YOLOv8
338,2025-11-09 22:55:46,live_feed,Class_39,0.5540626645088196,1070.0,4.0,1153.0,284.0,1920,1080,YOLOv8
339,2025-11-09 22:55:46,live_feed,Class_60,0.5500168800354004,2.0,24.0,1733.0,1063.0,1920,1080,YOLOv8
340,2025-11-09 22:55:46,live_feed,Class_39,0.30749765038490295,1441.0,231.0,1556.0,440.0,1920,1080,YOLOv8
332,2025-11-09 22:55:45,live_feed,Class_39,0.23469068109989166,839.0,1.0,1101.0,311.0,1920,1080,YOLOv8
333,2025-11-09 22:55:45,live_feed,Class_39,0.23463597893714905,839.0,1.0,1101.0,311.0,1920,1080,YOLOv8
330,2025-11-09 22:55:44,live_feed,Class_39,0.2343921661376953,839.0,1.0,1101.0,311.0,1920,1080,YOLOv8
331,2025-11-09 22:55:44,live_feed,Class_39,0.23467136919498444,839.0,1.0,1101.0,311.0,1920,1080,YOLOv8
328,2025-11-09 22:55:43,live_feed,Class_39,0.2573334276676178,749.0,3.0,1181.0,632.0,1920,1080,YOLOv8
329,2025-11-09 22:55:43,live_feed,Class_39,0.23726136982440948,839.0,1.0,1101.0,311.0,1920,1080,YOLOv8
326,2025-11-09 22:55:42,live_feed,Class_39,0.2617565989494324,749.0,3.0,1181.0,632.0,1920,1080,YOLOv8
327,2025-11-09 22:55:42,live_feed,Class_39,0.26104530692100525,749.0,3.0,1181.0,632.0,1920,1080,YOLOv8
324,2025-11-09 22:55:41,live_feed,Class_39,0.2649725079536438,749.0,3.0,1181.0,632.0,1920,1080,YOLOv8
